CVE-1999-0608,formation.,,,,,"An incorrect configuration of the PDG Shopping Cart CGI program """"shopper.cgi"""" could disclose private"
CVE-1999-0609,formation.,,,,,"An incorrect configuration of the SoftCart CGI program """"SoftCart.exe"""" could disclose private"
CVE-1999-0610,formation.,,,,,An incorrect configuration of the Webcart CGI program could disclose private
CVE-1999-0611,appropriate value.,,,,,A system-critical Windows NT registry key has an
CVE-1999-0612,formation to any entity on the network.,,,,,A version of finger is running that exposes valid user
CVE-1999-0626,formation to any entity on the network.,A version of rusers ,,,,A version of rusers is running that exposes valid user
CVE-1999-0664,appropriate permissions.,,,,,An application-critical Windows NT registry key has
CVE-1999-0665,appropriate value.,,,,,An application-critical Windows NT registry key has an
CVE-1999-0717, Microsoft Excel 97.,A remote attacker ,,,,A remote attacker can disable the virus warning mechanism
CVE-1999-0726, Windows NT by executing a program with a malformed file image header.,,,by executing a program with a malformed file image header.,,An attacker can conduct a denial of service
CVE-1999-0746,.identd in SuSE Linux waits 120 seconds between requests,,,,,A default configuration of
CVE-1999-0790,formation from a Netscape user's cache via JavaScript.,A remote attacker ,,,,A remote attacker can read
CVE-1999-1529, the HELO command in Trend Micro Interscan VirusWall SMTP gateway 3.23/3.3 for NT,,,,,buffer overflow
CVE-2000-0093,itial password,,,,,An installation of Red Hat uses DES password encryption with crypt() for the
CVE-2000-0350, NetworkICE ICEcap 2.0.23 and earlier is enabled,,,,,A debugging feature
CVE-2000-0768, Internet Explorer 4.x and 5.x,,,, does not properly verify the domain of a frame within a browser window,A function
CVE-2001-0092, Internet Explorer 5.0 through 5.5,,,, does not properly verify the domain of a frame within a browser window,A function
CVE-2001-0850, the libdb1 package in OpenLinux 3.1,,,, uses insecure versions of the snprintf and vsnprintf functions,A configuration error
CVE-2001-1118, Roxen 2.0 before 2.0.92,,,,,A module
CVE-2002-0103,secure permissions,,,,,An installer program for Oracle9iAS Web Cache 2.0.0.x creates executable and configuration files with
CVE-2002-0703,correct MD5 checksums for UTF-8 data,,,,,An interaction between the Perl MD5 module (perl-Digest-MD5) and Perl could produce
CVE-2002-0865, Microsoft Virtual Machine (VM) 5.0.3805 and earlier,,,,,A certain class that supports XML (Extensible Markup Language)
CVE-2002-1141, the Sun Microsystems RPC library Services for Unix 3.0 Interix SD,,,,,An input validation error
CVE-2002-1180, the script source access permissions for Internet Information Server (IIS) 5.0,,,, does not properly exclude .COM files,A typographical error
CVE-2002-1233, the Debian distributions of the apache-ssl package (before 1.3.9 on Debian 2.2,,,,,A regression error
CVE-2002-1276, SquirrelMail 1.2.8 calls the strip_tags function on the PHP_SELF value but,,,, does not save the result back to that variable,cross-site scripting (XSS)
CVE-2002-1448, Avaya P330,,,,,An undocumented SNMP read/write community string ('NoGaH$@!')
CVE-2002-2142, the Servlet 2.3 specification,,,,,An undocumented extension for the Servlet mappings
CVE-2003-0094, the util-linux package for Mandrake Linux 8.2 and 9.0,,,, uses /dev/urandom instead of /dev/random,A patch for mcookie
CVE-2003-0681," ruleset parsing"""" for Sendmail 8.12.9",,,,,"""""potential buffer overflow"
CVE-2004-0116, the RPCSS Service involved with DCOM activation for Microsoft Windows 2000,,,,,An Activation function
CVE-2004-0394, the panic() function in Linux 2.4.x,,,,,"""""potential"""" buffer overflow"
CVE-2004-1068, the unix_dgram_recvmsg function in Linux 2.4.27 and earlier,,,,,"A """"missing serialization"""" error"
CVE-2004-1312, the HTML parser in a certain Microsoft HTML library,,,,,A bug
CVE-2004-1445, nessus-adduser in Nessus 2.0.11 and possibly earlier versions,,,,,A race condition
CVE-2004-2491, Opera web browser 7.53 Build 3850 causes Opera to fill in the address bar before the page has been loaded,,,,,A race condition
CVE-2005-0034, the authvalidated validator function in BIND 9.3.0,,,,,"An """"incorrect assumption"""""
CVE-2005-0090," the Red Hat Enterprise Linux 4 kernel 4GB/4GB split patch omits an """"access check",,,,,A regression error
CVE-2005-0198, the CRAM-MD5 code for the University of Washington IMAP (UW-IMAP) server,,,,,A logic error
CVE-2005-0406, image processing software that modifies JPEG images might not modify the original EXIF thumbnail,,,,,A design flaw
CVE-2005-0963, the Toshiba ACPI BIOS 1.6 causes the BIOS to only examine the first slot in the Master Boot Record (MBR) table for an active partition,,,,,
CVE-2005-2752,terface in Mac OS X 10.4.2 and earlier,,,, does not properly clear memory before reusing it,An unspecified kernel
CVE-2005-3121, module-assistant before 0.9.10 causes a temporary file to be created insecurely,,,,,A rule file
CVE-2005-3805, POSIX timer cleanup handling on exit in Linux kernel 2.6.10 to 2.6.14,,,,,A locking problem
CVE-2006-0380, FreeBSD kernel 5.4-STABLE and 6.0 causes the kernel to calculate an incorrect buffer length,,,,,A logic error
CVE-2006-0381, the IP fragment cache functionality in pf in FreeBSD 5.3,,,,,A logic error
CVE-2006-0905, fast_ipsec in FreeBSD 4.8-RELEASE through 6.1-STABLE and NetBSD 2 through 3,,,, does not properly update the sequence number associated with a Security Association,"A """"programming error"""""
CVE-2006-1647, SMART SynchronEyes Student and Teacher 6.0,,,,,"An unspecified """"logical programming mistake"""""
CVE-2006-2221,staller generation tool,,,,,A third-party
CVE-2006-2690, EVA-Web 2.1.2 and earlier,,,,,An unspecified script
CVE-2006-2790, Sun Storage Automated Diagnostic Environment (StorADE) 2.4,,,, uses world-writable permissions for certain critical files and directories,A package component
CVE-2006-3813, the Perl package for Red Hat Enterprise Linux 4 omits the patch for CVE-2005-0155,,,,,A regression error
CVE-2006-4394, LoginWindow in Apple Mac OS X 10.4 through 10.4.7,,,,,A logic error
CVE-2006-6235, GnuPG (gpg) 1.x before 1.4.6,,,,,"""""stack overwrite"""""
CVE-2006-6510," SiteKiosk before 6.5.150 is installed """"safe for scripting""""",,,,,An unspecified ActiveX control
CVE-2007-0675, sapi.dll (aka the Speech API) in Speech Components in Microsoft Windows Vista,,,,,A certain ActiveX control
CVE-2007-0751, crontabs in Apple Mac OS X 10.3.9 and 10.4.9 might delete filesystems that have been mounted in /tmp,,,,,A cleanup script
CVE-2007-10001, web-cyradm,,leads to sql injection,,,vulnerability classified as problematic has been found in web-cyradm. This affects an unknown part of the file search.php. The manipulation of the argument searchstring leads to sql injection. It is recommended to apply a patch to fix this issue. The identifier VDB-217449 was assigned to this
CVE-2007-1287, the phpinfo function in PHP 4.4.3 to 4.4.6,,,,,A regression error
CVE-2007-1294, the DivXBrowserPlugin (npdivx32.dll) in DivX Web Player,,,,,A certain ActiveX control
CVE-2007-20001, StarWind iSCSI target,An attacker ,,,,
CVE-2007-2172, Linux kernel 2.6 before 2.6.21-rc6 and 2.4 before 2.4.35 causes RTA_MAX to be used as an array size instead of RTN_MAX,,,,,A typo
CVE-2007-2225, Microsoft Outlook Express 6 and Windows Mail in Windows Vista,,,, does not properly handle certain HTTP headers when processing MHTML protocol URLs,A component
CVE-2007-2988, Inout Meta Search Engine sends a redirect to the web browser but,,,, does not exit when administrative credentials are missing,A certain admin script
CVE-2007-3168, the EDraw Office Viewer Component (edrawofficeviewer.ocx) 4.0.5.20,,,,,A certain ActiveX control
CVE-2007-3493, NCTWavChunksEditor2.dll 2.6.1.148 in NCTAudioStudio (NCTAudioStudio2) 2.7,,,,,A certain ActiveX control
CVE-2007-4891, PDWizard.ocx 6.0.0.9782 and earlier in Microsoft Visual Studio 6.0 exposes dangerous (1) StartProcess,,,,,A certain ActiveX control
CVE-2008-0082, Windows Messenger 4.7 and 5.1 is marked as safe-for-scripting,,,,,An ActiveX control (Messenger.UIAutomation.1)
CVE-2008-1369,correct Sun Solaris 10 image on SPARC Enterprise T5120 and T5220 servers has /etc/default/login and /etc/ssh/sshd_config files that configure root logins in a manner unintended by the vendor,,,,,A certain
CVE-2008-1455, Microsoft Office PowerPoint 2000 SP3,,,,,"A """"memory calculation error"""""
CVE-2008-1898, WkImgSrv.dll 7.03.0616.0,,,,,A certain ActiveX control
CVE-2008-3803, Cisco IOS 12.0 through 12.4,,,,,"A """"logic error"""""
CVE-2008-4071, Adobe Acrobat 9,,,,,A certain ActiveX control
CVE-2008-4109, the signal handler for login timeouts,,,,,A certain Debian patch for OpenSSH before 4.3p2-9etch3 on etch; before 4.6p1-1 on sid and lenny; and on other distributions such as SUSE uses functions that are not async-signal-safe
CVE-2008-5823, prtstb06.dll in Microsoft Money 2006,,,,,An ActiveX control
CVE-2008-5912, the JavaScript implementation in Microsoft Internet Explorer,,,," creates and exposes a """"temporary footprint"""" when there is a current login to a web site",An unspecified function
CVE-2008-5914, the JavaScript implementation in Apple Safari,,,," creates and exposes a """"temporary footprint"""" when there is a current login to a web site",An unspecified function
CVE-2008-5915, the JavaScript implementation in Google Chrome,,,," creates and exposes a """"temporary footprint"""" when there is a current login to a web site",An unspecified function
CVE-2008-7273, Iceweasel-firegpg before 0.6 due to insecure tempfile handling.,,,,,A symlink issue exists
CVE-2009-10001, jianlinwei cool-php-captcha up to 0.2,,leads to cross site scripting,,,vulnerability classified as problematic was found in jianlinwei cool-php-captcha up to 0.2. This
CVE-2009-10003, capnsquarepants wordcraft up to 0.6,,leads to cross site scripting,,,vulnerability was found in capnsquarepants wordcraft up to 0.6. It has been classified as problematic. Affected is an unknown function of the file tag.php. The manipulation of the argument tag leads to cross site scripting. It is possible to launch the attack remotely. Upgrading to version 0.7 is able to address this issue. The name of the patch is be23028633e8105de92f387036871c03f34d3124. It is recommended to upgrade the affected component. VDB-219714 is the identifier assigned to this
CVE-2009-1142, open-vm-tools 2009.03.18-154848,Local users ,,,,
CVE-2009-1143, open-vm-tools 2009.03.18-154848,Local users ,,,,
CVE-2009-20001, MantisBT before 2.24.5,,,,,
CVE-2009-2507, the Indexing Service in Microsoft Windows 2000 SP4,,,,,A certain ActiveX control
CVE-2009-2669, IBM AIX 5.3 and 6.1,,,, does not properly handle the (1) _LIB_INIT_DBG and (2) _LIB_INIT_DBG_FILE environment variables,A certain debugging component
CVE-2009-2982, Adobe Reader and Acrobat 9.x before 9.2,,,,,An unspecified certificate
CVE-2009-2992, Adobe Reader and Acrobat 9.x before 9.2,,,,,An unspecified ActiveX control
CVE-2009-3086, Ruby on Rails 2.1.0 through 2.2.2,,,,,A certain algorithm
CVE-2009-3481,terface in the iCRM Basic (com_icrmbasic) component 1.4.2.31 for Joomla!,,,, does not require administrative authentication,A certain
CVE-2009-3920, the NGP COO/CWP Integration (crmngp) module 6.x before 6.x-1.12 for Drupal,,,, does not perform the expected access control,An administration page
CVE-2009-4171, YahooBridgeLib.dll for Yahoo! Messenger 9.0.0.2162,,,,,An ActiveX control
CVE-2009-5025, PyForum v1.0.3 where an attacker who knows a valid user email could force a password reset on behalf of that user.,a valid user ,,,,A backdoor (aka BMSA-2009-07) was found
CVE-2010-0189, NOS Microsystems getPlus Download Manager (aka DLM or Downloader) 1.5.2.35,,,,,A certain ActiveX control
CVE-2010-0719, Microsoft Windows 2000,,,,,An unspecified API
CVE-2010-10003, gesellix titlelink,,leads to sql injection,,,vulnerability classified as critical was found in gesellix titlelink. Affected by this
CVE-2010-10004, Information Cards Module and classified as problematic,,leads to cross site scripting,,,vulnerability was found in Information Cards Module and classified as problematic. This issue affects some unknown processing. The manipulation leads to cross site scripting. The attack may be initiated remotely. Upgrading to version 1.0 is able to address this issue. The name of the patch is f6bfea49ae16dc6e179df8306d39c3694f1ef186. It is recommended to upgrade the affected component. The identifier VDB-217661 was assigned to this
CVE-2010-10009, frioux ptome,,leads to sql injection,,,vulnerability was found in frioux ptome. It has been rated as critical. This issue affects some unknown processing. The manipulation leads to sql injection. The name of the patch is 26829bba67858ca0bd4ce49ad50e7ce653914276. It is recommended to apply a patch to fix this issue. The associated identifier of this
CVE-2010-2243, kernel/time/clocksource.c in the Linux kernel before 2.6.34 where on non-GENERIC_TIME systems (GENERIC_TIME=n),,,,,
CVE-2010-2525, gfs2 file system&#8217;s handling of acls (access control lists),,,,,A flaw was discovered
CVE-2010-2582, TextXtra.x32 in Adobe Shockwave Player before 11.5.9.615,,,, does not properly reallocate a buffer when processing a DEMX chunk in a Director file,An unspecified function
CVE-2010-3107, ienipp.ocx in the browser plugin in Novell iPrint Client before 5.42,,,, does not properly restrict the set of files to be deleted,A certain ActiveX control
CVE-2010-3182, Mozilla Firefox before 3.5.14 and 3.6.x before 3.6.11,,,,,A certain application-launch script
CVE-2010-3747, RealNetworks RealPlayer 11.0 through 11.1,,,,,An ActiveX control
CVE-2010-4553, IBM Lotus Notes Traveler before 8.5.1.1,,,, does not properly handle MIME types,An unspecified Domino API
CVE-2010-4695, gif2png 2.5.1 and 2.5.2,,,,,A certain Fedora patch for gif2png.c
CVE-2010-5304, the way LibVNCServer before 0.9.9 handled certain ClientCutText message,A remote attacker ,,by sending a specially crafted ClientCutText message from a VNC client.,,A NULL pointer dereference flaw was found
CVE-2011-0008, sudo before 1.7.4p5-1.fc14 on Fedora 14,a user ,,, does not properly interpret a system group (aka %group) in the sudoers file during authorization decisions for a user who belongs to that group,A certain Fedora patch for parse.c
CVE-2011-0467, the listing of available software of SUSE Studio Onsite,,,,,
CVE-2011-0926, CSDWebInstaller.ocx in Cisco Secure Desktop (CSD),,,, does not properly verify the signature of an unspecified downloaded program,A certain ActiveX control
CVE-2011-10001, iamdroppy phoenixcf,,leads to sql injection,,,vulnerability was found in iamdroppy phoenixcf. It has been declared as critical. Affected by this
CVE-2011-10002, weblabyrinth 0.3.1,,leads to sql injection,,,vulnerability classified as critical has been found in weblabyrinth 0.3.1. This affects the function Labyrinth of the file labyrinth.inc.php. The manipulation leads to sql injection. Upgrading to version 0.3.2 is able to address this issue. The name of the patch is 60793fd8c8c4759596d3510641e96ea40e7f60e9. It is recommended to upgrade the affected component. The identifier VDB-220221 was assigned to this
CVE-2011-10003, XpressEngine up to 1.4.4,,leads to sql injection,,,vulnerability was found in XpressEngine up to 1.4.4. It has been rated as critical. This issue affects some unknown processing of the component Update Query Handler. The manipulation leads to sql injection. Upgrading to version 1.4.5 is able to address this issue. The name of the patch is c6e94449f21256d6362450b29c7847305e756ad5. It is recommended to upgrade the affected component. The associated identifier of this
CVE-2011-1084, Smoothwall Express 3.,,,,,cross-site scripting (XSS)
CVE-2011-1298, WebKit in Google Chrome before Blink M11 in the macOS WebCore::GraphicsContext::fillRect function.,,,,,An Integer Overflow exists
CVE-2011-1474, pax-linux versions 2.6.32.33-test79.patch,,,,,locally locally exploitable DOS
CVE-2011-1488, rsyslog before 5.7.6 was found in the way deamon processed log messages are logged when $RepeatedMsgReduction was enabled,A local attacker ,,by crashing the service via a sequence of repeated log messages sent within short periods of time.,,A memory leak
CVE-2011-1489, rsyslog before 5.7.6 was found in the way deamon processed log messages were logged when multiple rulesets were used and some output batches contained messages belonging to more than one ruleset,A local attacker ,cause denial of the rsyslogd daemon service,via a log message belonging to more than one ruleset.,,A memory leak
CVE-2011-1490, rsyslog before 5.7.6 was found in the way deamon processed log messages are logged when multiple rulesets were used and some output batches contained messages belonging to more than one ruleset,A local attacker ,cause denial of the rsyslogd daemon service,via a log message belonging to more than one ruleset,,A memory leak
CVE-2011-1497, the auto_link function in Rails before version 3.0.6.,,,,,cross-site scripting
CVE-2011-1803, third_party/WebKit/Source/WebCore/svg/animation/SVGSMILElement.h in WebKit in Google Chrome before Blink M11 and M12 when trying to access a removed smil element.,,,,,
CVE-2011-1904, the web interface in Proofpoint Messaging Security Gateway 6.2.0.263:6.2.0.237 and earlier in Proofpoint Protection Server 5.5.3,,,,,An unspecified function
CVE-2011-2195, WebSVN 2.3.2,,,,,
CVE-2011-2335, WebKit in Google Chrome before Blink M12 in the WebCore::CSSSelector function.,,,,,double-free
CVE-2011-2336, WebKit in Google Chrome before Blink M12,,,,,
CVE-2011-2337, WebKit in Google Chrome before Blink M12 on 64-bit platforms.,,,,,A wrong type is used for a return value from strlen
CVE-2011-2487, JBoss web services where the services used a weak symmetric encryption protocol,,,,,
CVE-2011-2706, the reorder administrator functions in sNews 1.71.,,,,,Cross-Site Scripting (XSS)
CVE-2011-2714, Drupal 6.20 with Data 6.x-1.0-alpha14 due to insufficient sanitization of table descriptions,,,,,Cross-Site Scripting
CVE-2011-2715, Drupal 6.20 with Data 6.x-1.0-alpha14 due to insufficient sanitization of table names or column names.,,,,,An SQL Injection vulnerability exists
CVE-2011-2726, Drupal 7.x before version 7.5,,,,,An access bypass issue was found
CVE-2011-2808,put element in WebKit in Google Chrome before Blink M13 when a child of a keygen with autofocus is accessed.,,,,,A stale layout root is set as an
CVE-2011-2933, admin/media/upload.php in WebsiteBaker 2.8.1 and earlier due to a failure to restrict uploaded files with .htaccess,,,,,An Arbitrary File Upload vulnerability exists
CVE-2011-2934, the administrator functions in WebsiteBaker 2.8.1 and earlier due to inadequate confirmation for sensitive transactions.,,,,,Cross Site Request Forgery (CSRF)
CVE-2011-2953, the browser plugin in RealNetworks RealPlayer 11.0 through 11.1 and 14.0.0 through 14.0.5,,,,,An unspecified ActiveX control
CVE-2011-3183, the rcID parameter in Concrete CMS 5.4.1.1 and earlier.,,,,,Cross-Site Scripting (XSS)
CVE-2011-3202, the g parameter to index.php in Jcow CMS 4.2 and earlier.,,,,,Cross-Site Scripting (XSS)
CVE-2011-3203,dex.php in Jcow CMS 4.x to 4.2 and 5.2 to 5.2.,,,,,Code Execution
CVE-2011-3582, Advanced Electron Forums (AEF) through 1.0.9 due to inadequate confirmation for sensitive transactions in the administrator functions.,,,,,Cross-site Request Forgery (CSRF)
CVE-2011-3610, the Serendipity freetag plugin before 3.30 in the tagcloud parameter to plugins/serendipity_event_freetag/tagcloud.swf.,,,,,Cross-site Scripting (XSS)
CVE-2011-3611, act parameter to admin.php in UseBB before 1.0.12.,,,,,File Inclusion
CVE-2011-3613, Vanilla Forums before 2.0.17.9 due to the way cookies are handled.,,,,,
CVE-2011-3614, the Facebook,,,,,An Access Control vulnerability exists
CVE-2011-3621, FluxBB before 1.4.7 when FORUM_BEHIND_REVERSE_PROXY is enabled.,,,,,A reverse proxy issue exists
CVE-2011-3622, the admin login screen in Phorum before 5.2.18.,,,,,Cross-Site Scripting (XSS)
CVE-2011-4042, SVUIGrd.ocx in ARC Informatique PcVue 6.0 through 10.0,,,,,An unspecified ActiveX control
CVE-2011-4044, SVUIGrd.ocx in ARC Informatique PcVue 6.0 through 10.0,,,,,An unspecified ActiveX control
CVE-2011-4056, ActBar.ocx in Siemens Tecnomatix FactoryLink 6.6.1 (aka 6.6 SP1),,,,,An unspecified ActiveX control
CVE-2011-4082,"clusion flaw was found in the way the phpLDAPadmin before 0.9.8 processed certain values of the """"Accept-Language"""" HTTP header",A remote attacker ,,,,A local file
CVE-2011-4125, Calibre at devices/linux_mount_helper.c leading to the ability of unprivileged users to execute any program as root.,,leading to the ability of unprivileged users to execute any program as root.,,,A untrusted search path issue was found
CVE-2011-4661, Cisco IOS before 15.2(1)T due to a memory leak in the HTTP PROXY Server process (aka CSCtu52820),,,,,memory leak
CVE-2011-5020, the ID parameter in Online TV Database 2011.,,,,,An SQL Injection vulnerability exists
CVE-2011-5321, the way the Linux kernel's virtual console implementation handled reference counting when accessing pseudo-terminal device files (/dev/pts/*),,,,,A NULL pointer dereference flaw was found
CVE-2012-0772, Adobe Flash Player before 10.3.183.18 and 11.x before 11.2.202.228,,,,,An unspecified ActiveX control
CVE-2012-0951, NVIDIA Graphics Drivers 29549 due to an unknown function in the file proc/driver/nvidia/registry.,,,,,Memory Corruption
CVE-2012-0952, the device control ioctl in the Linux driver for Nvidia graphics cards,,,,,heap buffer overflow
CVE-2012-10002, ahmyi RivetTracker,,leads to cross site scripting,,,vulnerability was found in ahmyi RivetTracker. It has been declared as problematic. Affected by this
CVE-2012-10004, backdrop-contrib Basic Cart,,leads to cross site scripting,,,vulnerability was found in backdrop-contrib Basic Cart. It has been classified as problematic. Affected is the function basic_cart_checkout_form_submit of the file basic_cart.cart.inc. The manipulation leads to cross site scripting. It is possible to launch the attack remotely. Upgrading to version 1.x-1.1.1 is able to address this issue. The name of the patch is a10424ccd4b3b4b433cf33b73c1ad608b11890b4. It is recommended to upgrade the affected component. VDB-217950 is the identifier assigned to this
CVE-2012-10005, manikandan170890 php-form-builder-class and classified as problematic,,leads to cross site scripting,,,vulnerability has been found in manikandan170890 php-form-builder-class and classified as problematic. Affected by this
CVE-2012-10006, ale7714 sigeprosi,,leads to sql injection,,,vulnerability classified as critical has been found in ale7714 sigeprosi. This affects an unknown part. The manipulation leads to sql injection. The name of the patch is 5291886f6c992316407c376145d331169c55f25b. It is recommended to apply a patch to fix this issue. The identifier VDB-218493 was assigned to this
CVE-2012-1104, the phpCAS 1.2.2 library from the jasig project due to the way proxying of services are managed.,,,,,Security Bypass
CVE-2012-1105, the Jasig Project php-pear-CAS 1.2.2 package in the /tmp directory,,,,,An Information Disclosure vulnerability exists
CVE-2012-1114, LDAP Account Manager (LAM) Pro 3.6 in the filter parameter to cmd.php in an export and exporter_id action,,,,,Cross-Site Scripting (XSS)
CVE-2012-1115, LDAP Account Manager (LAM) Pro 3.6 in the export,,,,,Cross-Site Scripting (XSS)
CVE-2012-1592, Apache Struts2 when processing malformed XSLT files,,,,,A local code execution issue exists
CVE-2012-1615, Fedoraproject Sectool due to an incorrect DBus file.,,,,,Privilege Escalation
CVE-2012-1818, Emerson DeltaV and DeltaV Workstations 9.3.1,,,,,An unspecified ActiveX control
CVE-2012-1957, Mozilla Firefox 4.x through 13.0,,,,,An unspecified parser-utility class
CVE-2012-2079, the Activity module 6.x-1.x for Drupal.,,,,,cross-site request forgery (CSRF)
CVE-2012-2092, Ubuntu Cobbler before 2,,,,,Security Bypass
CVE-2012-2130, PolarSSL 0.99pre4 through 1.1.1 due to a weak encryption error when generating Diffie-Hellman values and RSA keys.,,,,,Security Bypass
CVE-2012-2148, the property replacements feature in any descriptor in JBoxx AS 7.1.1 ignores java security policies,,,,,
CVE-2012-2248, dhclient 4.3.1-6 due to an embedded path variable.,,,,,
CVE-2012-2312, JBoss AS 7 Community Release due to the improper implementation in the security context propagation,,,,,An Elevated Privileges issue exists
CVE-2012-2496, the VPN downloader implementation in the WebLaunch feature in Cisco AnyConnect Secure Mobility Client 3.x before 3.0 MR7 on 64-bit Linux platforms,,,, does not properly restrict use of Java components,A certain Java applet
CVE-2012-2516, KeyHelp.ocx in KeyWorks KeyHelp Module (aka the HTML Help component),,,,,An ActiveX control
CVE-2012-2656, Restlet 1.1.10 in an endpoint,,,, using XML transport,An XML eXternal Entity (XXE) issue exists
CVE-2012-3462, SSSD version 1.9.0,,,,,
CVE-2012-3821, the activate.asp page in Arial Software Campaign Enterprise 11.0.551,,,,,Security Bypass
CVE-2012-4284, Viscosity 1.4.1 on Mac OS X due to a path name validation issue in the setuid-set ViscosityHelper binary,,,,,Privilege Escalation
CVE-2012-4420, the way the Java Virtual Machine (JVM) implementation of Java SE 7 as provided by OpenJDK 7 incorrectly initialized integer arrays after memory allocation (in certain circumstances they had nonzero elements right after the allocation),A remote attacker ,,,,An information disclosure flaw was found
CVE-2012-4512, the way the CSS parser of the Document Object Model's (DOM) implementation of KDE libraries performed processing of a location of a particular font face source,A remote attacker ,,,,heap-based buffer overflow
CVE-2012-4598, McAfee Virtual Technician (MVT) before 6.4,,,,,An unspecified ActiveX control
CVE-2012-4750, the memcpy function when processing AMF requests in Ezhometech EzServer 7.0,,,,,Code Execution
CVE-2012-4760, the SDBagent service in Safend Data Protector Agent 3.4.5586.9772,,,,,Privilege Escalation
CVE-2012-4761, the unquoted Service Binary in SDPAgent or SDBAgent in Safend Data Protector Agent 3.4.5586.9772,,,,,Privilege Escalation
CVE-2012-4767, Safend Data Protector Agent 3.4.5586.9772 in the securitylayer.log file in the logs.9972 directory,,,,,
CVE-2012-5645, the way the server component of Freeciv before 2.3.4 processed certain packets,A remote attacker ,,,,A denial of service flaw was found
CVE-2012-6124, Chicken before 4.8.0 on 64-bit platform caused the random number generator to,,,, return a constant value,A casting error
CVE-2012-6306, HCView (aka Hardcoreview) 1.4 due to a write access violation with a GIF file.,,,,,
CVE-2012-6307, JPEGsnoop 1.5.2 due to an unspecified issue in JPEG file handling,,,,,
CVE-2012-6309, Arctic Torrent 1.4 via unspecified vectors in .torrent file handling,,,,,
CVE-2012-6340, NETGEAR WGR614 v7 and v9 due to a hardcoded credential used for serial programming,,,,,An Authentication vulnerability exists
CVE-2012-6341, the my config file in NEtGEAR WGR614 v7 and v9,,,,,An Information Disclosure vulnerability exists
CVE-2012-6611, Polycom Web Management Interface G3/HDX 8000 HD with Durango 2.6.0 4740 software and embedded Polycom Linux Development Platform 2.14.g3,,,,,
CVE-2012-6639, Cloud-init before 0.7.0 when requests to an untrusted system are submitted for EC2 instance data.,,,,,An privilege elevation vulnerability exists
CVE-2012-6647, the way the futex_wait_requeue_pi() function of the Linux kernel's futex subsystem handled the requeuing of certain Priority Inheritance (PI) futexes,,,,,A NULL pointer dereference flaw was found
CVE-2012-6655, the user_change_password_authorized_cb() function in user.c which could,a local users ,,, let a local users obtain encrypted passwords.,
CVE-2012-6706, unrar before 5.5.5,,,,,A VMSF_DELTA memory corruption was discovered
CVE-2012-6711, GNU Bash before 4.3 when wide characters,,,,,heap-based buffer overflow
CVE-2013-0108, HscRemoteDeploy.dll in Honeywell Enterprise Buildings Integrator (EBI) R310,,,,,An ActiveX control
CVE-2013-0242, the regular expression matching routines that process multibyte character input,,,,,
CVE-2013-0264,troduced in Cumin in the code refactoring in r5310,,,,,An import error was
CVE-2013-0517, IBM Sterling External Authentication Server 2.2.0,,,,,Command Execution
CVE-2013-0539, IBM Sterling B2B Integrator 5.1 and 5.2 and Sterling File Gateway 2.1 and 2.2,,,, uses short session ID values,An unspecified third-party component
